rule_name,link_number,link,rulebook_page,rule_description
The Charge Move (Intro),137,https://tow.whfb.app/the-movement-phase/the-charge-move-intro,"Rulebook, p. 121","Moving a charging unit is often a complicated procedure. For this reason, the charge move itself is covered in greater detail elsewhere, after the basics of movement and manoeuvre have been explained."
Maximum Possible Charge Range,138,https://tow.whfb.app/the-movement-phase/maximum-possible-charge-range,"Rulebook, p. 121",A unit's maximum possible charge range is determined by adding six (the highest possible result of an unmodified Charge roll) to its current Movement characteristic (taking into account any modifiers that might apply to its Movement characteristic).
Failed Charge,139,https://tow.whfb.app/the-movement-phase/failed-charge,"Rulebook, p. 121","A unit that makes a failed charge has started towards the enemy, but is unable to cover the distance. The warriors in the unit simply lose impetus. If a unit makes a failed charge it moves directly towards the target a distance equal to the result of the Charge roll, wheeling as required.Fig 121.1 - Unit A has declared a charge against unit B. Unit A's Movement characteristic is 4"" and a Charge roll of 1 and 5 has been made, for a total charge range of 9"". Alas, unit B is 10"" away, so the charge has failed. Unit A must now move 5"" (the highest result of the two dice rolled)."
Compulsory Moves,140,https://tow.whfb.app/the-movement-phase/compulsory-moves,"Rulebook, p. 122","Generally speaking, a player can move their units however they wish within the confines of the rules. However, sometimes units behave of their own accord. All compulsory movement is carried out in this sub-phase, after charges have been resolved, but before other movement takes place."
Fleeing Units (Movement),141,https://tow.whfb.app/the-movement-phase/fleeing-units-movement,"Rulebook, p. 122","Units that failed to Rally during the Strategy phase will continue to flee during the Compulsory Moves sub-phase. Fleeing units must be moved at the beginning of this subphase, before moving any other units that are obliged to make a compulsory move.Moving a fleeing unit is often a complicated procedure. For this reason, fleeing itself is covered in greater detail after the basics of movement and manoeuvre have been explained in more detail."
Other Types of Compulsory Movement,142,https://tow.whfb.app/the-movement-phase/other-types-of-compulsory-movement,"Rulebook, p. 122","Other units that must move in the Compulsory Moves sub-phase follow the normal movement rules, unless stated otherwise. Any special rules that apply to units that have a compulsory move will be described within their rules. For example, some units have a random Movement characteristic. In other cases, a unit might be obliged to move in a specific direction, or even in a random direction.Whatever the case, any compulsory moves are resolved now, after all fleeing units have moved. These compulsory moves can be resolved in any order the controlling player wishes."
Remaining Moves,143,https://tow.whfb.app/the-movement-phase/remaining-moves,"Rulebook, p. 122","With all charges and compulsory moves attended to, you can now move the rest of your army. While it might lack the drama of charging or the jeopardy of compulsory moves, the Remaining Moves sub-phase is no less important.During this sub-phase players manoeuvre their remaining units in order to set up charges for future turns, as well as attempt to deny future charges their opponent will wish to make. This is also the time to manoeuvre missile troops and Wizards so that they have suitable targets, seize important areas of the battlefield, and so on. Finally, Conveyance spells can be cast at any point during this sub-phase.Note that units which are fleeing, that charged this turn or that moved during the Compulsory Moves sub-phase cannot move again during this sub-phase. Their movement for the turn has already been completed."
Movement in Detail,144,https://tow.whfb.app/movement-in-detail,"Rulebook, p. 123","Moving an army is an important and often decisive part of the game. When opposing commanders are well matched, move and counter move can become complex and challenging as the rival armies search for an advantage.This section begins with the rules for basic movement and manoeuvre, before delving into the intricacies of charging and fleeing. Finally, you will find an explanation of how different types of battlefield terrain can hinder, or even halt, movement."
Basic Movement,145,https://tow.whfb.app/movement-in-detail/basic-movement,"Rulebook, p. 123","The most basic move any model or unit can make is to move forward a number of inches up to its Movement characteristic, as shown in Fig 123.1. If there is more than one Movement characteristic within a unit, the entire unit moves at the rate of the slowest model.Units arrayed in rank and file are cumbersome, and find it hard to change direction. Models (and units) must move forward in a straight line, unless performing a manoeuvre.Fig 123.1 - The distance a model moves is measured from the front of its base. The model is then moved and the front of its base placed in line with the end of the tape measure."
Marching,146,https://tow.whfb.app/movement-in-detail/marching,"Rulebook, p. 123","Most units are able to 'march', allowing them to move rapidly across the battlefield. A marching unit can double its Movement characteristic. Whilst marching a unit can wheel to change direction, but cannot perform any other manoeuvres. However, a unit that marched in the Movement phase cannot shoot during the Shooting phase (including casting Magic Missile or Magical Vortex spells).Note that whilst in Marching Column, a Close Order formation may triple its Movement characteristic when Marching."
Enemy Sighted,147,https://tow.whfb.app/movement-in-detail/enemy-sighted,"Rulebook, p. 123","Units are often unwilling to march when the enemy is close. If you wish a unit to begin a march move whilst within 8"" of an enemy unit (ignoring enemy units that are fleeing), it must first make a Leadership test. If this test is failed, the unit refuses to march but may move normally. If this test is passed, the unit may march.Note that if a unit attempts an Enemy Sighted test in order to march and fails, it is considered to have marched, even if its controlling player then elects to not move the unit at all."
Manoeuvres,148,https://tow.whfb.app/movement-in-detail/manoeuvres,"Rulebook, p. 124","There are six types of manoeuvre to choose from: wheel, turn, move backwards, move sideways, redress the ranks and reform. During its movement, a unit may perform a single manoeuvre. Regardless of the manoeuvre performed, no model can move more than twice its Movement characteristic.WheelTurnMove BackwardsMove SidewaysRedress The RanksReform"
Wheel,149,https://tow.whfb.app/movement-in-detail/wheel,"Rulebook, p. 124","'Wheeling' is the best way of making an alteration to the direction a unit is facing whilst still being able to advance. To wheel, the leading edge of the unit moves forward, pivoting round one of its front corners, as shown in Fig 124.1.When a unit wheels, every model counts as having moved as far as the outside model. Once the wheel is complete, you may use any movement the unit has remaining. Unless it is charging, a unit can wheel more than once during its move and can alternate between moving forward and wheeling.Fig 124.1"
Turn,150,https://tow.whfb.app/movement-in-detail/turn,"Rulebook, p. 124","To execute a turn, all the models remain in place but are turned through 90° or 180° to face their side or rear. For every 90° it turns, a unit uses a quarter of its Movement characteristic.When a unit turns, all models in complete ranks simply turn on the spot. Any models in an incomplete rear rank are moved to the rear of the new formation.When a unit is turned to face its side or rear, any Command models it contains are automatically placed into the new front rank. If there is not enough space in the front rank, such models are placed in the second rank.Fig 124.2Fig 124.3Fig 124.4 - From its initial position in Fig 124.2, the unit may spend a quarter of its movement to turn 90°, as shown in Fig 124.3, or half of its movement to turn 180°, as shown in Fig 124.4."
Move Backwards,151,https://tow.whfb.app/movement-in-detail/move-backwards,"Rulebook, p. 125","Units can move backwards as well as forward, but tend to shuffle carefully rather than stride purposefully. To represent this, a unit that moves backwards must halve its Movement characteristic."
Move Sideways,152,https://tow.whfb.app/movement-in-detail/move-sideways,"Rulebook, p. 125","Units can move sideways as well as forward, but do so with caution in order to maintain their formation. To represent this, a unit that moves sideways must halve its Movement characteristic."
Redress the Ranks,153,https://tow.whfb.app/movement-in-detail/redress-the-ranks,"Rulebook, p. 125","Units can redress the ranks by moving models to or from their rear ranks to decrease or increase the number of models in their front rank. A unit may use half of its Movement characteristic in order to deduct up to five models from its front rank (as shown in Fig 125.1), or to add up to five models to its front rank (as shown in Fig 125.2).The models in the remaining ranks are then rearranged to match the number of models in the front rank and maintain a correct formation. Remember, there must be the same number of models in each rank. Only the rear rank may have fewer models.Fig 125.1 - This unit uses half of its movement to reduce its frontage by five models. As a result it goes from ten wide to five wide, gaining an extra rank.Fig 125.2 - This unit uses half of its movement to increase its frontage by five models. As a result it goes from five wide to ten wide."
Reform,154,https://tow.whfb.app/movement-in-detail/reform,"Rulebook, p. 125","A reform represents the most complex of manoeuvres a unit can perform on the battlefield, but on the tabletop it is quite straightforward. Reforming allows a unit to sacrifice its entire movement in order to both pivot about its centre to change its facing by up to 180°, and to rearrange its ranks and files as required to either change its formation, or to adopt a different formation."
Pivoting,155,https://tow.whfb.app/movement-in-detail/pivoting,"Rulebook, p. 125","Sometimes, the rules will require a unit to 'pivot,' usually about its centre. This is exactly as it sounds. The unit is not performing any of the manoeuvres previously described – instead it spins on the spot, using its centre as a pivot point, ignoring the presence of other units or terrain whilst it does so."
The Ends of the World,156,https://tow.whfb.app/movement-in-detail/the-ends-of-the-world,"Rulebook, p. 125","It is important to note that the edge of the battlefield does not represent the end of the world. It is perfectly acceptable for a corner of a unit to cross beyond the edge of the battlefield during a manoeuvre, provided the unit is able to end its movement completely upon the battlefield."
The Charge Move,157,https://tow.whfb.app/movement-in-detail/the-charge-move,"Rulebook, p. 126","As mentioned previously, moving a charging unit can often be quite complex. This is because a charging unit is obliged to fulfil certain criteria:A charging unit must endeavour to bring as many models as possible within its front rank into base contact with models in the charged unit.A charging unit must move by the shortest route possible to reach its charge target.A charging unit must move forward in as straight a line as possible.After moving, a unit that charged must ensure that it is aligned against the charge target."
Manoeuvring During a Charge,158,https://tow.whfb.app/movement-in-detail/manoeuvring-during-a-charge,"Rulebook, p. 126","Unless stated otherwise, a charging unit cannot perform a turn, move backwards, move sideways, redress the ranks or reform manoeuvre during its charge move.However, a charging unit must endeavour to bring the maximum number of models from both sides into base contact, which will often require some degree of manoeuvre. To facilitate this, a charging unit may wheel once, at any point, during its move, as shown in Fig 126.2.Note that a charging unit does not have to complete its wheel if doing so would cause it to make a failed charge or would prevent the completion of a charge declared by another unit.Once a charging unit has completed any required wheel, it completes its movement, moving straight ahead towards the charge target and stops as soon as the two units touch.Fig 162.1 - 1. Declare Charge.Fig 162.2 - 2. Wheel to maximise contact."
Aligning to the Enemy,159,https://tow.whfb.app/movement-in-detail/aligning-to-the-enemy,"Rulebook, p. 126","Usually, moving a charging unit in the manner described will leave it and the charged unit in base contact at a peculiar angle with an odd gap in between. In a real battle warriors would quickly move to attack their enemies and, in so doing, close the gap – which is exactly what happens in the game.Once the charging unit contacts the charge target, it must perform a second, free wheel (if required) to bring its front facing into flush contact with the facing of the enemy unit that has been charged, as shown in Fig 126.4.Fig 162.3 - 3. Move in.Fig 162.4 - 4. Align to the enemy."
Flank & Rear Charges,160,https://tow.whfb.app/movement-in-detail/flank-and-rear-charges,"Rulebook, p. 127","Sometimes, your unit will be able to charge into the flank or rear of an enemy unit. This is particularly beneficial because an attack from an unexpected direction gives you an advantage in combat.A charging unit's position when the charge is declared determines whether it charges into the front, flank or rear of the enemy unit. A unit's position in relation to its potential charge target is determined when the charge is declared.If the charging unit is in the charge target's front arc when the charge is declared, it charges into that unit's front. As units generally begin the game facing each other, this is the most common situation that will arise.However, if the charging unit is within a flank arc of its charge target when the charge is declared, it charges into that unit's flank. If the charging unit is within the rear arc of its charge target when the charge is declared, it charges into that unit's rear.Fig 127.1 - Unit A has been charged by units B and C. Unit B is completely within unit A's front arc. Unit C, however, straddles unit A's flank and rear arc. Three of the models in unit C's front rank are in the flank arc, whilst only two models are in the rear arc. Unit C is therefore considered to be in unit A's flank and will charge accordingly."
Resolving Uncertainties,161,https://tow.whfb.app/movement-in-detail/resolving-uncertainties,"Rulebook, p. 127","Sometimes, a charging unit will straddle two arcs. In such cases, count how many models in the front rank of the charging unit lie within each arc. If there are more models in one arc, the unit is considered to be in that arc.If it is still unclear, the charging unit is considered to be in the arc that gives it the least advantage in terms of combat result. For example, if you cannot determine whether a charging unit is in the flank or rear arc, it is in the flank arc."
Unusual Situations (Charging),162,https://tow.whfb.app/movement-in-detail/unusual-situations-charging,"Rulebook, p. 128","Unusual situations can arise as units charge. The following sections attempt to deal with these. However, should a situation ever arise that cannot easily be resolved, players should agree with one another upon the most logical course of action, and avoid getting bogged down in overly long debates."
Unable to Align,163,https://tow.whfb.app/movement-in-detail/unable-to-align,"Rulebook, p. 128","On occasion, a charging unit will be able to make contact with its charge target, but unable to align to it because something lies in the way. In such cases, the charge target should align itself against the charging unit. If this is not possible, simply leave a gap. In either case, the charging unit has made a disordered charge, as shown in Fig 128.1 and Fig 128.2:Fig 128.1 - Unit A charges unit B. It wheels to bring as many models into base contact as possible, and to avoid the terrain before moving in.Fig 128.2 - After making contact, unit A cannot align to unit B – the terrain is in the way. Unit B then wheels to align. Not being as wide as unit A, it moves past the terrain and the gap is closed."
Disordered Charge,164,https://tow.whfb.app/movement-in-detail/disordered-charge,"Rulebook, p. 128",A unit that has made a disordered charge does not gain the Initiative modifier for charging.
Charging Through Terrain,165,https://tow.whfb.app/movement-in-detail/charging-through-terrain,"Rulebook, p. 128","A charging unit must move by the shortest route possible to reach its charge target. Therefore, charging units will often be obliged to move through difficult or dangerous terrain, or across low linear obstacles. This is perfectly acceptable, but a charge made through any form of terrain is more difficult, and often much slower, than a charge made across open ground.Before making a charging unit's Charge roll, check to see if any part of the unit will move through difficult or dangerous terrain, or across a low linear obstacle, when it makes its charge move. If so, that unit must discard the highest result when making its Charge roll, rather than the lowest, and will suffer a -1 modifier to its Movement characteristic (to a minimum of 1) when making its charge move.Finally, if a unit ends its charge move with a quarter (25%) or more of its models within difficult terrain, or straddling a low linear obstacle, it becomes Disrupted and cannot claim a Rank Bonus."
Charging a Fleeing Enemy,166,https://tow.whfb.app/movement-in-detail/charging-a-fleeing-enemy,"Rulebook, p. 129","When a charged unit turns tail and flees, the charging unit has two options: attempt to run down an enemy that flees from it, or attempt to redirect its charge."
Running Down the Foe,167,https://tow.whfb.app/movement-in-detail/running-down-the-foe,"Rulebook, p. 129","Once the charge target has completed its flee move, the charging unit makes its charge move as normal. If the charging unit makes contact with the fleeing unit, it will wheel to align as normal. Caught by the enemy, the fleeing unit is hacked to pieces and immediately removed from play.The charging unit may then attempt to reform by making a Leadership test. If this test is failed, the unit is unable to reform. If this test is passed, the unit may make a free reform. In either case, the unit cannot move again this turn.If the charging unit does not make contact with the fleeing unit, it moves forward its full charge range. It has not made a failed charge – the charge target ran away."
Redirecting a Charge,168,https://tow.whfb.app/movement-in-detail/redirecting-a-charge,"Rulebook, p. 129","Once the charge target has completed its flee move, the charging unit may attempt to redirect its charge if there is an eligible alternative charge target, as shown in Fig 129.1. This can be:A unit which the charging unit could have declared a charge against at the beginning of this phase.A unit that has been revealed by the movement of the fleeing unit.If the charging unit wishes to redirect, it must first make a Leadership test. If this test is failed, the unit must attempt to run down the fleeing unit. If this test is passed, the unit may redirect, immediately declaring a charge against its new target.The target of a redirected charge does not have time to Stand & Shoot, the only charge reactions available to it are Hold and Flee. Should it Flee, the charge cannot be redirected again.When a charge is redirected, the original charge target is not run down and will flee to safety. A charge cannot be redirected if there are no eligible alternative charge targets.Fig 129.1 - Unit A declared a charge against unit B, which chose to Flee, and fled 3"". Once unit B has completed its flee move, unit A attempts to redirect its charge against unit C. To do so, it must make a Leadership test. Unit A passes this test with ease, and is free to redirect its charge against unit C."
Multiple Charging Units,169,https://tow.whfb.app/movement-in-detail/multiple-charging-units,"Rulebook, p. 130","When two or more units are charging into the same arc of a single enemy unit, they are considered to move simultaneously and both units must try to bring the maximum number of models from both sides into base contact.Fig 130.1 - Units A and B have both declared a charge against unit C. They use their movement to ensure that the maximum number of models from each unit make base contact with models in unit C."
Multiple Charge Targets,170,https://tow.whfb.app/movement-in-detail/multiple-charge-targets,"Rulebook, p. 130","A unit may be unable to charge its intended target without making contact with other enemy units. In such cases, the charging unit must declare a charge against all of the enemy units it will contact, and each is able to declare its own charge reaction.If the charging unit is unable to align itself to all of the enemy units once contact has been made, those enemy units the charging unit cannot align against must themselves align against it. The charging unit counts as having made a disordered charge against any unit that was obliged to align against it.Fig 130.2 - Unit A wishes to charge unit C. However, due to the width of unit A, it cannot do so without contacting both units B and D as well. Unit A therefore declares a charge against all three and all three declare their charge reactions.Fig 130.3 - Once unit A has moved, it is unable to align against units B and D. Therefore, units B and D must align to unit A. Unit A is considered to have made a disordered charge against units B and D (but not against unit C)."
Accidental Contact,171,https://tow.whfb.app/movement-in-detail/accidental-contact,"Rulebook, p. 131","Sometimes, particularly during the push and pull of combat, units make accidental contact with enemy units. Should this prove unavoidable, there are several ways to resolve this.If a unit is contacted in its front arc, and if it is not itself already engaged in combat, the unit may either:Commit to combat, aligning against the enemy unit that made accidental contact with it (neither unit counts as having charged and both fight in Initiative order).Give Ground to avoid being drawn into an unwanted combat.However, if a unit is accidentally contacted in its flank or rear arc, or is itself already engaged in combat, its owning player must move it (and, if necessary, any units it is in combat with) aside by the minimum amount necessary to ensure it is both 1"" away from the unit that accidentally contacted it and still engaged in its own combat."
Accidental Contact When Running Down the Foe,172,https://tow.whfb.app/movement-in-detail/accidental-contact-when-running-down-the-foe,"Rulebook, p. 131","A charging unit that has chosen to run down a fleeing charge target may make accidental contact with another enemy unit. When this happens, the charging unit is considered to have redirected its charge against that unit and the fleeing unit escapes.If the charging unit makes accidental contact with two or more enemy units, treat it as you would a unit charging multiple charge targets, as described previously."
Accidental Contact During a Charge,173,https://tow.whfb.app/movement-in-detail/accidental-contact-during-a-charge,"Rulebook, p. 131","A charging unit might find its path unexpectedly blocked by another enemy unit, usually one that has fled from another charge. If the charging unit is able to wheel to avoid the unit and complete its charge, it should. If this is not possible, or if doing so will cause a failed charge, the charging unit has two options – it can halt its charge, or it can continue ahead."
Halting a Charge,174,https://tow.whfb.app/movement-in-detail/halting-a-charge,"Rulebook, p. 131","If the charging unit wishes to halt its charge, it is moved towards its charge target as normal, stopping 1"" away from the unit that has blocked its path. A halted charge is not a failed charge."
Continuing Ahead,175,https://tow.whfb.app/movement-in-detail/continuing-ahead,"Rulebook, p. 131","If the charging unit chooses to continue ahead, the outcome will depend upon the enemy unit:If a charging unit makes accidental contact with a fleeing enemy unit, it will wheel to align as normal. The fleeing unit is considered to have been run down by the charging unit and is immediately removed from play. The charging unit's movement comes to an end and, due to the confused circumstances, cannot attempt to reform.If a charging unit makes accidental contact with an enemy unit that is not fleeing, simply treat the charging unit as having redirected its charge into that unit."
Flee!,176,https://tow.whfb.app/movement-in-detail/flee,"Rulebook, p. 132","Units flee for many reasons. Units that fail to rally during the Strategy phase will flee in the Compulsory Moves sub-phase, others will flee from a charging enemy, and so forth. When a unit flees, it abandons all formation and heads to safety by the most direct route possible."
Direction of Flight,177,https://tow.whfb.app/movement-in-detail/direction-of-flight,"Rulebook, p. 132","When a unit flees, the direction of its flight will be determined by whatever caused it to flee. In most cases, this is an enemy unit. Units that fail to Rally will continue in the direction of their earlier flight, rarely changing direction."
Fleeing from an Enemy Unit,178,https://tow.whfb.app/movement-in-detail/fleeing-from-an-enemy-unit,"Rulebook, p. 132","When the rules call for a unit to flee directly away from an enemy unit, pivot the fleeing unit about its centre so that it is facing directly away from the centre of the enemy unit it is fleeing from, as shown in Fig 132.1. After pivoting, the unit makes an immediate flee move, as shown in Fig 132.2.Fig 132.1 - 1. Unit A is fleeing from unit B. Therefore, unit A pivots around its centre point until facing directly away from unit B.Fig 132.2 - 2. Unit A then moves forward a distance equal to its Flee roll."
Fleeing as a Compulsory Move,179,https://tow.whfb.app/movement-in-detail/fleeing-as-a-compulsory-move,"Rulebook, p. 132","Units that fail to rally during the Strategy phase and continue to flee during the Compulsory Moves sub-phase of the Movement phase will continue along their previous path. When a unit flees as a compulsory move, it moves straight ahead in the direction it is facing."
The Flee Move,180,https://tow.whfb.app/movement-in-detail/the-flee-move,"Rulebook, p. 132","To determine how far a fleeing unit moves, make a Flee roll after pivoting it (if required). To make a Flee roll, roll 2D6. The result of this roll is the distance in inches that the fleeing unit moves. A fleeing unit:Moves straight ahead in the direction it is facing.Must move the full distance rolled, even if doing so would take the unit off the battlefield.May change direction by pivoting only if required to move around impassable terrain."
Destruction of a Fleeing Unit,181,https://tow.whfb.app/movement-in-detail/destruction-of-a-fleeing-unit,"Rulebook, p. 132","Should any part of a fleeing unit move into contact with, or cross beyond, the edge of the battlefield, the entire unit is removed from play and counts as having been destroyed."
Fleeing Through Friendly Units,182,https://tow.whfb.app/movement-in-detail/fleeing-through-friendly-units,"Rulebook, p. 133","As fleeing units have broken formation, they are able to move through friendly units without stopping or slowing. If the flee move would result in the fleeing unit ending up 'on top' of a friendly unit, then it carries on fleeing straight forward until it is clear of the unit, and will then halt."
Fleeing Through Enemy Units,183,https://tow.whfb.app/movement-in-detail/fleeing-through-enemy-units,"Rulebook, p. 133","Sometimes, a fleeing unit will run through an enemy unit. This is obviously extremely perilous. To represent this, once a fleeing unit's movement is complete, make a 'Peril' test for each model in the unit that moved through an enemy unit, as shown in Fig 133.1. To make a Peril test, roll a D6. On a roll of 4+, the model escapes without incident. On a roll of 1-3, the model is struck by the enemy and loses a single Wound.If the flee move would result in the fleeing unit ending up 'on top' of or within 1"" of an enemy unit, it carries on fleeing straight forward until it is 1"" away from the enemy unit, and will then halt.Note that there is no limit to how many Peril tests a unit may be required to make during a single move.Fig 133.1 - Unit A must flee through an enemy unit, causing eight models to make a Peril test."
Fleeing Through Terrain,184,https://tow.whfb.app/movement-in-detail/fleeing-through-terrain,"Rulebook, p. 133","A fleeing unit moves through difficult and dangerous terrain without suffering any negative modifiers to its Movement characteristic, though it must make any Dangerous Terrain tests required. Should a fleeing unit come into contact with impassable terrain, it must pivot around its centre in order to move around it by the shortest possible route."
The Greater the Danger,185,https://tow.whfb.app/movement-in-detail/the-greater-the-danger,"Rulebook, p. 133","If a unit is required to flee directly away from two or more enemy units at the same time, it will flee directly away from the enemy unit with the highest Unit Strength. If two enemy units have the same Unit Strength, randomly determine which the unit flees from."
The Limits of Endurance,186,https://tow.whfb.app/movement-in-detail/the-limits-of-endurance,"Rulebook, p. 133","No matter how determined the coward, there is a limit to how far a model can run. A unit can only ever make one flee move per phase of the game. Should a unit ever be required to make a second flee move during a phase in which it has already fled, it does not pivot (if required to do so) and will flee 0""."
Give Ground & Fall Back in Good Order,187,https://tow.whfb.app/movement-in-detail/give-ground-and-fall-back-in-good-order,"Rulebook, p. 134","The rules will often call for units to Give Ground or Fall Back in Good Order. Most often, they will do this after losing a round of combat or after suffering heavy casualties from enemy shooting."
Give Ground,188,https://tow.whfb.app/movement-in-detail/give-ground,"Rulebook, p. 134","A unit that Gives Ground does so reluctantly, maintaining its formation whilst attempting to put a bit of much needed distance between itself and the enemy.When a unit Gives Ground, it moves 2"" directly away from the enemy unit or units that caused it to Give Ground, without turning, pivoting or otherwise changing its facing in any way, stopping immediately should it come into contact with another unit or terrain, or if continuing to move would bring it within 1"" of an enemy unit."
Fall Back in Good Order,189,https://tow.whfb.app/movement-in-detail/fall-back-in-good-order,"Rulebook, p. 134","When a unit Falls Back in Good Order, it is beating a hasty retreat, but has not yet lost all courage and is able to quickly rally its fighting spirit. A unit that Falls Back in Good Order moves exactly like a fleeing unit, with the following exceptions:When making its Flee roll, a unit that Falls Back in Good Order rolls two D6 and discards the lowest result. If both dice roll the same result, discard either.A unit that Falls Back in Good Order automatically rallies at the end of its flee move."
Oddball Stuff (Movement),190,https://tow.whfb.app/movement-in-detail/oddball-stuff-movement,"Rulebook, p. 134","The movement rules are comprehensive and detailed. Despite this, there will always be situations in which something is unclear."
Conveyance Spells,191,https://tow.whfb.app/movement-in-detail/conveyance-spells,"Rulebook, p. 134","If any of the active player's Wizards know any Conveyance spells, they may attempt to cast them at any point during the Remaining Moves sub-phase."
Lone Models,192,https://tow.whfb.app/movement-in-detail/lone-models,"Rulebook, p. 134","Lone models, such as characters, monsters or chariots, are units and move as such."
Different Formations,193,https://tow.whfb.app/movement-in-detail/different-formations,"Rulebook, p. 134",The rules in this section deal with units in Close Order formation. Units in different formations may move differently. These formations are explained in greater detail in the Unusual Formations section.
Moving off the Battlefield,194,https://tow.whfb.app/movement-in-detail/moving-off-the-battlefield,"Rulebook, p. 134","Except in the case of fleeing units and pursuing units, no unit is permitted to move off the battlefield."
Reinforcements,195,https://tow.whfb.app/movement-in-detail/reinforcements,"Rulebook, p. 134","A unit that enters the battle as reinforcements does so during the Compulsory Moves sub-phase. It is placed with its rear arc in full contact with the battlefield edge (upon which edge, and where, will depend upon the rule that triggers its arrival) facing towards the centre of the battlefield.A unit that enters as reinforcements cannot march and counts as having moved for the purposes of shooting, but can otherwise move normally during the Remaining Moves sub-phase."
Terrain & Movement,196,https://tow.whfb.app/movement-in-detail/terrain-and-movement,"Rulebook, p. 135","Terrain is covered in more detail in the Battlefield Terrain section. For now, it is sufficient to explain that terrain is divided into seven categories; open ground, hills, difficult, dangerous and impassable terrain, linear obstacles (including both low and high) and woods.This section focuses on how certain types of terrain hinder movement. Players should discuss before the battle begins which category a terrain feature falls into."
Open Ground & Hills (Movement),197,https://tow.whfb.app/movement-in-detail/open-ground-and-hills-movement,"Rulebook, p. 135","Any part of the battlefield not taken up by a terrain feature is open ground. Unless otherwise agreed, hills are open ground. Open ground does not impede movement at all."
Difficult Terrain (Movement),198,https://tow.whfb.app/movement-in-detail/difficult-terrain-movement,"Rulebook, p. 135","If any part of a unit moves through difficult terrain, that unit suffers a -1 modifier to its Movement characteristic (to a minimum of 1). This modifier is applied whether the unit begins its movement in difficult terrain, passes through difficult terrain during its movement, or ends its movement in difficult terrain.In addition, a unit that ends its movement with a quarter (25%) or more of its models within difficult terrain (or straddling a low linear obstacle, below) becomes Disrupted."
Low Linear Obstacles (Movement),199,https://tow.whfb.app/movement-in-detail/low-linear-obstacles-movement,"Rulebook, p. 135","For the purposes of movement, low linear obstacles (i.e., less than 2"" high), such as walls and hedges, are treated as difficult terrain."
Dangerous Terrain (Movement),200,https://tow.whfb.app/movement-in-detail/dangerous-terrain-movement,"Rulebook, p. 135","Dangerous terrain hinders movement just like difficult terrain. In addition, make a 'Dangerous Terrain' test for each model in the unit that either begins its movement in dangerous terrain, passes through dangerous terrain during its movement, or ends its movement in dangerous terrain. To make a Dangerous Terrain test, roll a D6. On a roll of 2+, the model successfully negotiates the dangers of the terrain without incident. On a roll of 1, the model has suffered a terrible mishap and loses a single Wound.Note that a model must make a Dangerous Terrain test for each separate dangerous terrain feature it encounters during a single move."
Impassable Terrain (Movement),201,https://tow.whfb.app/movement-in-detail/impassable-terrain-movement,"Rulebook, p. 135",Impassable terrain is terrain so difficult to move through that it cannot be crossed during the course of a battle. Units must go around impassable terrain.
High Linear Obstacles (Movement),202,https://tow.whfb.app/movement-in-detail/high-linear-obstacles-movement,"Rulebook, p. 135","For the purposes of movement, high linear obstacles (i.e., 2"" high or more), such as castle walls, are treated as impassable terrain."
Woods (Movement),203,https://tow.whfb.app/movement-in-detail/woods-movement,"Rulebook, p. 135","For the purposes of movement, woods are treated as either difficult or dangerous terrain, as agreed by the players."
Battlefield Decoration (Movement),204,https://tow.whfb.app/movement-in-detail/battlefield-decoration-movement,"Rulebook, p. 135","Some terrain features are so small that, whilst they might provide a vital objective in a scenario, they cannot reasonably be expected to interfere with movement. Models can freely move through very small decorative elements of terrain less than 2"" across."
The Shooting Phase,205,https://tow.whfb.app/the-shooting-phase,"Rulebook, p. 136","During the Shooting phase, your army lets fly with the missile weapons at its disposal, be they humble bows, fantastical war machines or devastating spells. Most armies will contain a unit or two of archers, a war machine or a Wizard that knows various deadly spells, and will use these to thin the enemy ranks. Other armies will field masses and masses of missile units, intending to seize victory in the Shooting phase by obliterating the enemy at long range.This section covers the shooting rules for common weapons and the majority of troop types, including Wizards able to cast Magic Missiles or Magical Vortex spells. War machines and other, more peculiar, devices of destruction are explained in greater detail in their own section. However, even the most colossal trebuchet is governed by many of the same rules as the humble bow and arrow, so it is worth reading through this section before unlimbering your organ gun."
The Shooting Phase Sequence,206,https://tow.whfb.app/the-shooting-phase/the-shooting-phase-sequence,"Rulebook, p. 136","Just like the other phases of the game, the Shooting phase is broken down into four sub-phases. However, unlike the Strategy and Movement phases, the Shooting phase sequence is followed in full for each unit, one at a time.Simply choose a unit in your army, then complete all four sub-phases for that unit in the order shown opposite. You may then choose another unit, repeating the process until all units have had a chance to shoot or cast spells.Choose Unit & Declare TargetThe active player chooses a unit in their army that is able to shoot. They then check the unit's range and line of sight to any potential targets before declaring its target.Roll To HitThe active player rolls To Hit for the shooting unit. Sometimes, not all models will be able to shoot, and of those that can, certain modifiers may need to be applied to their roll To Hit.Roll To Wound & Make Armour SavesFor each successful roll To Hit, the player makes a roll To Wound. For each of these rolls that cause a wound, their opponent may be able to make an Armour Save roll.Remove Casualties & Make Panic TestsFor each unsaved wound caused, the target unit loses one Wound. Models reduced to zero Wounds are removed as casualties. If enough casualties are caused, the unit will have to take a Panic test."
